GeneID,GSM5009234,GSM5009235,GSM5009230,GSM5009243
6497,49,21,61,54
79906,5,10,14,13
100129534,14,8,2,15
11079,143,114,220,99
5192,39,37,37,37
9651,109,79,189,130
55229,69,56,150,112
388585,0,0,0,0
115110,5,9,27,35
8764,45,66,132,158
100996583,9,8,6,2
127281,54,23,56,64
79258,7,2,9,10
105378597,0,2,5,1
100287898,40,38,50,39
105378603,0,0,0,0
105378602,0,0,0,0
105378601,0,0,0,0
112268220,0,0,0,0
107985732,0,0,0,0
105378600,0,0,0,0
105378598,0,0,0,0
107984904,0,0,0,0
105378599,0,0,0,0
140625,0,0,0,0
440556,7,18,4,6
63976,4,42,33,19
100422968,0,0,0,0
105378606,0,0,3,0
107984909,1,0,0,0
105378605,0,4,0,0
105378604,9,12,8,3
27237,6,19,96,22
1953,1,0,27,3
105378608,0,0,0,0
693135,0,0,0,0
105378607,0,0,0,0
127262,572,493,582,658
49856,85,59,122,115
7161,34,6,10,15
105378610,5,4,97,182
105378609,0,0,0,0
57212,227,103,165,162
148870,14,0,3,3
388588,3,5,24,33
57470,283,323,605,491
9731,389,305,473,407
1677,110,70,113,111
107984910,11,0,26,1
339448,484,392,473,406
100133612,2,3,2,0
728716,0,0,12,3
105376672,0,0,0,0
105376673,0,0,0,0
284661,0,0,0,0
105376674,0,0,0,0
105376679,0,0,0,0
107985376,0,0,0,0
55966,6,8,4,14
105376680,0,0,0,0
102724429,0,0,0,0
105376681,0,0,0,0
105376682,0,0,0,0
107984911,9,0,0,0
105376686,0,3,0,0
100616421,0,0,0,0
261734,125,71,122,139
8514,35,27,84,109
26038,21,15,43,31
105376687,0,0,1,3
6146,3469,3506,3918,3538
107985733,6,2,10,8
102724450,9,10,3,3
388591,159,161,153,173
23463,556,369,410,536
148645,5,0,2,0
390992,0,0,0,0
387509,43,8,29,18
11332,77,33,112,97
54626,0,0,0,0
83715,1,0,3,5
100422975,0,0,0,0
8718,1,0,5,5
57449,9,6,15,22
79707,210,320,251,354
80835,0,0,0,13
107984912,0,0,0,1
3104,61,88,173,106
9903,183,174,224,163
107984913,4,6,12,9
148479,128,37,143,164
90326,221,143,260,223
55735,217,120,185,225
100505887,0,0,0,0
110841581,14,2,7,12
23261,792,703,890,1041
105376692,0,0,0,0
102725193,0,4,1,1
101928836,0,0,16,14
105376691,0,0,0,0
105376689,53,17,22,53
9341,1169,1256,1168,1439
8863,1405,1459,675,605
10911,1,3,0,1
3604,0,1,17,1
11315,4093,2537,3598,3460
54206,2461,677,603,708
107984915,0,0,0,0
102724539,13,8,7,3
105376695,0,3,0,0
50651,26,34,64,32
473,867,941,1137,932
102724552,6,0,7,0
106632271,0,1,0,0
2023,4937,4123,3787,4370
102465436,0,0,0,0
100505975,44,25,61,53
112268261,13,6,8,4
765,0,0,0,0
155184,0,0,0,0
6518,10,0,0,0
80045,0,6,18,16
106614088,94,31,47,88
407040,0,0,0,1
102724571,26,11,20,31
9563,225,303,246,177
80176,60,59,58,64
100506022,5,5,2,8
84275,98,69,104,70
199953,70,39,85,42
107985734,9,10,6,5
105376712,0,0,0,0
5293,88,64,126,77
644997,0,0,0,0
101929074,20,40,65,32
22883,544,473,583,668
56998,282,197,289,255
105376717,28,7,4,14
84328,933,1077,761,823
64802,263,211,262,307
113391335,0,2,0,9
100847055,1,0,0,1
116362,39,45,98,23
10277,517,549,635,585
23095,750,608,990,761
105376725,9,20,31,14
5226,863,846,864,845
100526739,99,119,103,125
378708,199,177,172,201
1325,3,10,8,6
1676,1082,775,767,1036
5195,156,116,140,106
54897,141,87,139,125
105376733,0,7,0,0
105376735,0,0,0,0
148345,1074,711,1039,1029
23435,3821,2382,3429,3298
10747,127,78,122,100
6723,68,103,102,34
5394,804,877,1027,951
105376736,12,8,16,17
2475,241,294,463,447
100873935,4,3,7,14
10218,0,2,4,29
29914,311,220,241,233
105376737,0,0,0,0
105376739,0,3,0,0
105376740,0,4,0,0
57540,100,40,62,88
112268221,87,48,65,150
101929181,0,0,0,0
26232,17,42,112,34
93611,206,174,362,289
26270,35,57,72,135
10459,24,37,130,64
374946,0,0,1,0
57085,330,255,422,284
284498,7,8,21,12
102724659,0,0,0,0
4524,215,142,288,291
1185,255,267,353,249
100379251,46,29,60,84
4878,25,9,22,39
4879,0,0,5,0
26829,0,0,2,3
90231,202,252,251,295
5351,131,125,137,185
9927,470,473,493,567
60672,39,18,97,29
102466982,0,0,0,0
943,0,0,0,0
102465836,0,0,0,0
7133,4,24,55,0
100616438,0,0,0,0
107984917,0,0,0,0
55187,587,514,919,810
677885,3,5,3,5
105376744,17,1,0,0
9249,134,169,334,91
102466722,0,0,0,0
343066,0,0,1,0
126767,0,0,0,0
93190,121,81,86,106
390999,0,0,0,0
65121,0,0,0,0
105376745,0,0,0,0
440560,0,0,0,0
343069,8,4,2,4
65122,0,0,0,0
400735,0,0,0,0
343071,0,0,0,0
441871,0,0,0,0
440561,0,0,0,0
101929983,0,0,0,0
649330,0,0,0,0
441873,0,0,0,0
649324,0,1,0,0
440563,0,0,0,0
645354,0,1,0,0
645359,0,0,0,0
101060301,0,0,0,0
343070,0,0,0,0
400736,0,0,0,0
391003,0,0,0,0
343068,0,0,0,0
391002,0,0,0,0
645382,0,0,0,0
653619,0,0,0,0
729528,0,0,0,0
645414,0,0,0,1
391004,0,0,0,0
645425,0,0,0,0
126755,0,0,0,1
102724856,0,0,0,0
107984918,0,0,0,0
10630,14,2,20,6
107984919,0,0,0,0
105378612,0,0,0,0
105376756,0,0,0,0
7799,767,580,800,671
23254,18,28,57,121
107985467,0,0,0,0
107985468,0,0,0,5
105376762,0,0,0,0
105376759,0,0,0,0
107985469,0,6,0,0
200197,27,23,20,5
55092,107,80,127,112
727684,1,15,3,1
114827,84,9,75,74
101927417,20,5,3,26
101927441,1,0,21,3
79180,88,63,124,59
11330,7095,32777,503,650
63036,3589,45606,824,1098
105376767,0,10,0,2
51032,1302,11082,144,187
842,198,146,152,196
23341,529,761,738,587
107397391,0,0,0,1
79814,16,22,33,9
84301,721,619,585,670
6248,52,68,37,47
23207,145,97,388,155
284723,435,318,213,347
110806303,6,11,5,14
388595,0,0,0,0
54751,53,55,111,83
440567,111,82,90,81
729614,286,281,380,318
23013,1103,902,997,1185
7709,224,161,215,203
149563,0,0,0,0
27129,0,1,14,0
1187,15,1,14,21
1188,2,5,4,0
348487,42,39,81,35
1969,15,10,5,2
101927479,0,0,0,0
128272,64,11,14,7
101927546,9,23,11,31
79363,1,0,6,4
54455,266,307,497,371
26099,291,163,270,252
374955,157,87,158,138
55707,208,188,437,340
107984921,34,13,35,19
114819,110,73,154,136
26871,5,1,1,2
107985757,0,0,0,0
100132147,0,0,0,0
107985758,0,0,0,0
7195,0,0,0,0
55672,231,198,254,264
105376794,135,42,102,67
84809,79,35,66,47
11209,111,67,127,48
107985736,6,4,29,23
26869,5,1,0,1
107985759,0,0,0,0
284729,0,0,0,0
100189045,0,0,0,0
6060,5,1,1,2
11223,73,71,124,92
100500876,0,0,0,0
100189298,0,0,0,0
112267871,0,5,0,0
7193,0,1,0,0
100189183,0,0,0,0
105376805,106,115,117,213
791226,0,0,1,0
26870,4,1,0,2
9696,23,6,38,32
4237,3,4,25,1
105376806,0,0,2,0
23400,29,29,57,27
6390,1116,949,1185,1095
11240,0,1,0,0
105376808,0,0,0,0
400743,0,0,0,0
29943,0,0,0,0
51702,0,0,0,0
100616188,0,0,0,0
23569,0,0,16,0
353238,0,0,0,0
55920,156,141,227,178
55160,268,226,294,240
107984028,0,0,0,0
81569,0,0,0,0
105376809,0,0,0,0
105376812,0,0,23,20
101927876,0,0,0,0
84966,0,79,69,59
105376814,0,1,0,0
127707,1,0,9,1
5081,0,0,0,0
80834,0,0,1,0
8659,21,4,22,16
100616120,0,0,0,0
100302276,0,0,0,0
126917,14,23,36,14
105376815,0,2,0,0
23352,1545,1589,2020,1687
101927895,58,49,30,67
23065,642,546,652,673
51154,262,300,230,231
246181,6,21,31,24
22977,14,22,34,22
100506730,79,94,58,136
8574,379,294,426,342
54896,48,46,120,65
832,1031,1175,1435,1123
105376819,17,9,16,13
105376818,0,0,0,0
105376817,1,1,5,1
105378614,0,0,0,0
440574,2611,2121,2238,1951
100532736,164,145,234,128
644068,91,55,66,44
4681,29,32,116,32
3362,0,0,0,0
255104,112,56,142,95
54546,35,84,41,38
105376823,2,7,3,9
23252,203,222,374,305
30814,0,0,0,0
5320,0,0,66,1
5322,0,0,12,0
26279,0,0,0,0
64600,0,0,0,0
391013,0,0,0,0
127733,860,429,419,832
101928017,23,28,8,36
105376825,78,48,109,80
105376826,0,0,3,0
105376827,0,0,0,0
105376828,0,0,0,0
127731,1,10,31,192
339505,1,0,1,26
55450,2063,2356,2670,2821
79594,349,232,371,391
163933,0,0,0,0
978,0,3,10,6
65018,203,214,337,338
102464833,0,0,0,0
100861548,515,442,541,642
1650,3640,2197,2285,3333
57576,0,10,6,6
400745,0,0,0,0
112268222,1027,852,852,1177
50809,1682,1427,1450,1760
8672,1843,1241,1785,1677
105376830,21,27,8,39
105376829,9,4,7,10
100302155,0,0,0,0
1889,361,259,483,434
100506801,12,0,0,11
105376832,0,0,0,0
84224,303,102,190,134
249,0,1,10,2
105376834,0,0,0,0
5909,241,218,592,271
84196,616,654,888,712
401944,25,10,30,9
3339,32,20,60,12
23436,5347,40745,640,1045
10136,16709,134851,1731,2032
101928043,13,11,8,5
29092,325,196,133,262
112268223,78,55,41,79
998,6728,5747,4537,5400
54361,398,450,866,761
105376845,30,43,55,38
105376850,1,0,0,0
107985377,0,0,0,0
100616433,0,0,0,0
105376856,0,0,2,3
9923,437,382,514,446
2046,6,23,6,11
102466615,0,0,0,0
712,27,4,56,13
714,59,36,56,17
713,39,29,61,31
2048,90,63,80,49
100616391,0,0,0,0
100422914,0,0,0,0
646262,0,0,0,0
729059,4,0,2,0
23028,711,586,835,814
100422866,2,0,0,0
7798,198,173,440,289
3352,0,0,0,0
100996511,349,166,280,348
10236,2268,2141,2487,2373
80818,205,156,180,79
148898,18,14,66,26
6920,130,216,189,84
55616,0,14,39,19
1870,0,0,3,0
101928163,0,0,0,0
105376859,0,0,0,0
3399,61,49,179,18
107984928,0,0,0,0
259283,0,1,0,0
6135,7892,7124,7426,6754
6924,1323,1113,1225,1173
100506963,251,147,172,194
57095,565,438,541,439
105376860,20,13,20,17
11313,240,170,473,308
2582,61,54,64,68
3155,1060,868,893,1203
105376861,0,0,0,0
2517,650,499,543,542
1269,2,0,0,0
107984929,0,0,0,0
100616492,0,0,0,0
55629,2620,2240,2387,2116
10772,4212,3535,4431,3047
105378615,0,0,0,0
105376863,0,0,0,0
107984931,0,0,0,0
127294,0,0,6,0
107985737,0,0,0,0
105376864,0,0,3,0
58985,13,73,0,1
163702,33,96,73,74
284632,0,0,0,0
105376871,0,5,6,14
57822,63,10,3,8
90529,323,163,160,247
57185,845,822,692,784
100750325,62,58,63,86
11123,2380,2161,1901,2026
100506985,274,239,190,201
400746,163,108,102,94
10250,3996,3364,4531,4630
25932,26,143,259,194
105376876,0,0,0,0
864,29,6,24,2
102465437,0,0,0,0
107984932,6,0,0,1
105376878,0,0,1,0
100616365,0,0,0,0
105376879,1,0,6,0
25949,1124,1158,1601,1111
57035,2822,1886,3074,2606
105376882,0,0,0,0
6007,9,12,18,18
23585,697,704,964,856
6006,387,361,493,404
55219,488,388,661,539
26119,707,541,703,492
57134,485,393,530,403
57190,383,282,648,473
56181,993,1019,1312,1106
646471,64,75,104,51
79000,118,140,165,136
164091,113,134,157,179
3925,2560,2252,2731,2726
100500808,7,6,9,9
105376885,0,0,0,0
5051,273,228,273,268
101928216,0,0,2,0
2134,5,1,3,1
7780,1,12,1,13
105376910,0,0,0,0
84676,0,0,0,0
149420,500,707,441,460
105376886,3,0,0,4
79927,0,4,13,2
110806296,0,0,0,0
51042,45,67,129,86
10256,120,81,162,61
378807,2,0,0,0
101928303,112,56,65,129
64793,275,185,260,211
83442,1229,1182,1183,1097
91544,139,90,169,125
1043,42,18,129,8
55057,20,2,5,5
257101,0,0,0,0
79727,0,2,5,2
79947,685,359,305,497
101928324,28,15,14,26
3151,3746,4038,3882,4402
6195,12,26,46,52
100302190,0,0,0,0
105376888,1,0,0,0
101928728,12,19,20,15
8289,1265,1043,1583,1477
55650,386,248,304,494
84243,45,36,97,96
2810,0,0,7,0
54707,122,73,159,139
63906,79,85,101,49
10726,606,480,748,468
8431,204,185,195,158
126695,246,269,319,297
388610,187,255,267,209
115572,5,9,17,34
101928391,6,0,4,1
6548,96,50,100,64
102723760,0,0,0,0
105376890,0,0,0,0
23038,127,149,141,171
84065,399,331,442,511
644961,27,58,107,72
84958,79,37,102,73
9064,8,4,26,15
8547,10,1,49,3
388611,0,0,1,0
2827,4,6,2,0
10163,873,648,826,698
105376892,71,39,73,70
27245,192,206,300,326
2268,15,1,46,2
111216282,0,0,0,1
2537,1137,619,1674,942
199870,2051,1932,1314,1558
23673,3146,2326,1637,2298
5511,315,297,373,403
677774,2,6,2,0
9473,101,78,165,108
6118,2104,1478,1459,1829
27293,113,64,145,82
55113,67,82,149,63
2140,1332,1022,1012,1162
5724,13,8,49,13
22826,2304,2113,2172,2350
93974,3208,2887,3746,2977
83667,249,226,390,406
54797,133,191,197,225
65979,480,436,515,458
1104,138,78,84,105
8420,794,565,620,785
6080,0,1,0,1
26768,1,2,3,0
54952,207,141,170,320
85028,124,119,185,155
692212,11,16,7,15
677838,10,9,20,18
677825,1,1,3,4
692073,2,0,1,4
115273,0,0,0,0
6883,417,311,440,494
105378616,29,11,14,26
26824,1,0,2,1
10691,123,195,194,133
51441,964,729,1308,1050
4985,268,200,39,132
2035,354,218,258,263
399474,40,28,39,21
6429,569,314,749,448
51102,84,90,202,128
10076,132,123,35,74
101928460,0,0,0,0
107984933,0,0,0,0
107984934,9,4,17,19
101929406,0,0,0,0
105378617,0,0,0,0
105378618,0,0,0,0
4146,0,0,3,2
100129196,0,12,3,5
7805,24,11,94,19
100616164,0,0,0,0
105378620,0,0,8,0
105378621,0,0,0,0
105378622,0,0,2,0
400748,0,0,0,0
9672,3,5,26,1
9698,2048,1760,1988,1990
692234,1,2,1,4
692235,1,2,1,4
692200,0,0,0,0
107984935,5,0,3,0
79570,3,10,20,30
9410,552,469,792,664
51538,1029,740,1041,958
2170,11,8,12,16
105378623,0,0,0,0
107985470,0,0,0,0
347735,7,2,11,2
105378625,0,0,0,0
105379772,0,0,0,0
149086,0,0,0,0
284551,0,0,0,1
105378626,0,0,0,0
64129,31,23,57,5
3061,18,9,11,23
553115,815,594,608,779
107985471,5,8,6,7
105378628,0,0,0,0
1307,2,15,49,19
101929444,0,0,0,5
576,0,1,2,0
100423028,0,0,0,0
90853,0,0,0,0
8073,1874,1920,1540,1702
10657,1193,1359,1189,1164
55116,251,149,227,318
100847018,0,0,0,3
23633,2476,2493,2219,2647
200081,1688,1280,2070,2281
79140,129,127,290,211
56063,166,89,283,154
55721,97,102,97,197
149069,15,22,33,12
8668,1496,1371,1296,1348
339483,63,67,136,87
84734,1,0,6,2
3932,6,0,7,1
3065,1182,1097,1124,1145
65108,36,30,116,49
105378629,6,0,1,0
81629,84,67,70,72
100128071,0,8,6,5
55108,787,497,736,910
728116,1,0,28,25
653121,82,122,79,129
102723870,7,2,0,6
339487,942,895,789,816
5928,3395,3093,2766,3127
81493,1011,978,894,1044
57648,164,91,122,120
8565,653,680,436,392
64766,341,356,553,366
252995,94,88,128,63
105378631,0,1,0,0
3208,145,115,95,90
113452,131,149,107,124
105378632,0,0,0,0
127544,457,295,543,399
204,1504,1533,2113,1946
105378635,4,3,1,3
113451,51,67,79,146
112268224,7,3,12,19
55223,28,21,30,30
149076,98,178,128,89
127550,0,0,0,0
1912,475,431,727,614
100500853,2,3,1,1
101929464,0,0,4,1
7579,75,83,64,92
114784,12,35,16,18
105378638,0,1,3,0
127540,0,0,0,0
402779,0,0,0,0
84970,0,0,0,0
105378639,0,0,0,0
105378640,0,0,0,0
105378641,0,0,0,0
693137,0,0,0,0
105378642,0,0,0,1
2709,0,0,0,0
127534,0,0,0,0
2707,0,0,0,0
2701,2,31,13,12
113444,359,294,256,437
58512,40,30,26,26
653160,1,11,21,37
100506144,942,892,940,902
9204,655,773,437,802
79830,111,318,205,280
105378644,0,0,1,0
6421,3017,3019,3436,3318
9202,1153,774,1004,1010
100861513,46,37,37,54
79932,570,403,661,518
23154,119,87,99,113
339488,16,12,34,4
105378645,0,0,2,0
5690,1619,1630,1490,1783
105378646,0,0,0,0
127703,57,75,73,61
63967,2,2,6,0
192670,210,134,187,191
26523,672,649,596,596
192669,1158,946,1117,1162
105378647,0,4,3,3
27285,134,70,71,146
54936,245,190,253,380
1296,15,0,24,19
27095,649,491,582,717
55700,233,135,280,212
9967,5219,4209,4230,4421
79729,24,10,18,15
55194,4,3,9,5
83931,179,183,232,184
84967,428,393,450,406
127700,456,286,351,361
109616970,2,2,5,2
107984940,3,8,1,0
64960,556,601,720,682
1441,6,3,8,0
107984941,0,0,0,0
105378648,0,0,0,0
2899,0,0,4,1
100422898,0,0,0,0
107984942,0,0,0,6
728431,48,21,56,71
80149,1,7,25,3
102465438,0,0,0,0
64769,3529,4017,3793,3832
100847010,7,2,0,7
105378649,0,2,0,1
79753,142,144,131,142
7802,1111,1414,1062,1031
29889,1059,895,984,1140
284654,0,0,2,6
54955,377,324,238,317
55143,30,28,9,51
284656,46,5,26,28
105378650,0,0,0,0
149175,371,313,311,450
79693,214,180,189,170
127687,224,223,453,469
4520,586,405,606,613
3633,259,155,343,272
105378651,13,8,11,7
10946,991,1006,899,881
2275,2,11,25,9
51118,761,588,862,909
5453,1,13,8,27
107985103,0,0,0,0
105378653,2,0,1,0
100500801,0,0,0,0
105378655,1,0,0,0
105378654,0,0,0,0
339442,0,0,0,0
105378657,0,0,0,0
107984943,0,0,0,0
105378656,0,0,0,0
105378658,0,0,0,0
105378660,0,0,0,0
64121,516,318,431,438
100527950,294,170,209,199
26292,275,151,199,177
105378663,1,3,2,6
81025,7,10,9,12
54933,3,7,8,5
105378662,1,5,5,8
79647,633,550,1015,746
4725,3890,3112,2887,3520
23499,3279,2827,3193,3245
643314,51,27,57,23
105378950,0,0,0,0
353500,93,110,87,105
192217,2,7,11,8
728448,242,148,196,216
8761,495,930,517,426
101929516,15,35,30,23
677834,0,0,0,0
26508,56,31,42,13
84618,0,0,0,0
51440,19,1,7,0
10450,1655,908,1003,1265
656,62,97,171,203
64064,9,10,25,16
105378666,0,0,0,0
101929536,3,0,1,4
105378951,4,0,6,35
107985740,0,1,3,10
105378665,0,1,0,3
105378667,0,0,0,1
54802,479,379,441,358
4610,7,17,1,7
105378668,0,2,0,0
84879,1,10,3,4
105378669,4,2,0,0
10487,1489,1437,1195,1665
5538,7150,5506,4890,6441
105378671,0,0,0,0
6018,354,375,495,423
127391,0,0,6,0
10269,1767,1690,1068,1419
1298,37,27,105,59
107984945,0,0,1,0
64744,497,460,770,431
65243,40,110,75,84
339559,1,2,7,61
105378672,28,32,42,35
64789,137,47,128,129
127396,104,140,140,197
105378673,0,0,0,1
9783,0,6,9,19
105378675,0,0,0,0
105378674,0,0,0,0
100130557,170,72,47,141
4802,340,367,399,393
407034,0,0,0,0
407031,0,0,0,0
9132,0,0,0,0
105378676,0,0,0,0
163732,2,2,4,2
1503,199,124,255,234
100507178,28,23,45,19
200172,0,0,2,4
22955,447,437,488,395
100132074,6,3,1,2
101929901,3,2,0,0
105378678,0,0,0,1
1907,0,1,0,0
59269,233,228,257,290
2981,7,0,2,0
2980,12,7,8,16
22887,942,744,827,699
284716,199,156,125,122
84217,58,87,64,100
728621,437,329,334,499
79717,1018,956,932,917
10465,237,197,177,287
4904,1815,1787,1525,1484
149461,0,1,0,0
64175,140,94,136,151
79078,187,216,166,137
105378683,0,1,0,0
100129924,1,13,5,11
107984946,0,0,0,0
374969,292,275,377,362
114625,333,190,660,246
51058,244,276,259,251
339539,0,0,0,0
6513,95,136,78,92
440584,43,18,22,120
440585,28,35,31,47
10969,670,682,801,668
102465439,0,0,1,0
149465,32,4,26,26
105378685,29,11,17,24
128218,123,191,122,136
149466,279,271,287,204
7075,37,11,36,0
4352,318,248,203,299
105378687,4,19,7,14
991,0,11,3,0
64834,212,137,192,265
102466723,0,0,3,0
112268225,10,41,33,26
112950,654,382,540,612
107984947,57,21,39,64
23334,307,220,357,293
100873952,8,5,3,7
102465440,0,0,0,0
81888,134,105,180,165
5792,1378,1388,1247,1153
9682,180,202,214,242
100132774,30,30,12,22
6487,103,108,91,119
101929592,0,1,9,1
102464830,0,0,0,0
9048,0,4,0,2
105378688,39,11,52,41
101929609,10,16,13,19
9670,364,320,380,295
1802,81,106,226,118
533,4081,3255,3881,4579
8704,62,66,111,75
149473,182,82,245,161
6536,72,61,40,67
107984948,5,6,3,3
128209,0,0,0,0
105378952,0,0,0,0
55929,273,322,647,441
79033,717,622,756,692
100874278,4,5,1,1
106635545,0,0,0,0
55182,244,153,246,219
107984951,0,0,0,0
100847089,0,0,0,0
107984950,46,17,11,58
79639,389,402,261,282
109623472,0,0,2,1
339541,32,29,28,15
105378690,4,7,7,3
26828,3,1,1,0
26830,0,0,0,0
11004,52,14,16,5
109623476,0,0,0,0
6202,7048,6572,7263,6700
26811,0,0,0,0
94161,0,0,1,3
94162,11,9,12,10
94163,3,12,11,7
266675,28,4,9,15
1263,37,34,60,45
343521,2,3,6,4
149478,2,10,18,5
107984952,11,11,32,34
8643,25,19,46,20
8891,744,564,704,882
79654,195,170,254,187
7389,2192,1188,1644,1906
57643,219,141,276,193
105378691,7,15,13,7
400752,7,15,13,7
84842,0,0,0,0
4595,70,127,167,143
114034,146,104,175,187
10420,74,19,37,22
126661,138,23,21,83
25974,882,558,647,682
5052,2523,1523,1781,2124
10327,1589,1247,1365,1448
4678,556,469,892,645
149483,7,15,16,1
60313,2543,1862,1696,2308
728963,66,69,40,50
51249,482,587,458,459
3652,411,397,157,321
105378693,0,0,3,1
23139,76,34,105,68
105378694,0,1,2,3
110117499,185,134,214,230
8503,252,163,306,281
101929626,31,18,25,23
10103,677,683,520,602
110117498,0,0,0,0
55624,442,424,537,444
541468,0,0,10,9
8438,64,33,57,41
10489,491,399,643,690
7388,2382,1819,2172,2192
387338,658,321,484,488
2166,226,75,174,132
729041,0,0,0,0
101929651,0,0,0,0
127343,0,0,0,0
105378696,0,0,0,0
100507423,8,19,25,17
148930,0,0,0,0
8569,363,524,519,492
148932,44,170,200,123
105378697,0,0,0,0
64756,387,351,347,348
374973,7,22,16,1
100130197,26,24,17,16
9813,2068,1842,1649,1681
105378698,2,0,9,6
105378699,0,0,0,0
1580,0,10,49,0
163720,0,0,0,0
1579,0,0,0,0
260293,17,19,7,6
199974,0,7,2,0
284541,0,0,1,0
105378701,0,0,0,0
100874253,0,0,5,0
10158,1,23,3,2
6886,1,5,9,0
6491,55,6,22,38
51727,1759,1632,1500,1676
102724077,10,7,11,10
2301,0,0,0,0
84793,0,0,0,1
2306,11,3,2,4
107984953,0,0,0,0
388630,0,0,3,0
105379778,0,1,3,0
391037,0,6,0,0
200010,7,10,0,0
54558,397,254,173,341
84871,197,201,294,275
79656,125,94,156,99
105378706,0,0,4,0
101929721,0,0,0,1
100874313,19,10,20,15
107984954,12,1,6,9
105378708,0,0,0,0
1996,3576,2179,2529,3504
105378709,2,5,9,3
107984955,52,3,22,18
105378711,2,0,3,3
105378710,0,0,1,1
105378712,6,0,6,38
63950,0,0,5,0
105378714,0,0,0,0
11124,437,471,443,359
105378715,4,24,35,38
112268262,2,1,4,0
1031,340,149,269,286
100616189,0,0,0,0
102466656,0,0,0,0
284546,0,0,0,0
105378716,3,2,2,0
26994,1689,1236,1706,1485
22996,801,517,680,759
105378717,6,2,31,22
102724097,31,17,29,10
2060,2181,1889,2239,2393
105378720,45,27,62,43
441884,4,0,2,4
105378719,0,0,0,0
114883,1011,747,742,686
4898,1916,1705,1851,2046
105378721,60,70,67,82
100313892,1,2,2,1
5865,6346,4828,3344,3222
51060,1008,916,1098,1006
112970,38,69,80,67
104355143,0,0,0,0
91408,2176,1974,1662,2269
107984956,0,0,0,0
9372,144,237,153,168
200014,196,319,263,266
4998,3,13,19,6
84950,1237,1094,1241,915
23318,884,990,1254,981
105378723,36,20,13,31
2882,236,190,163,116
348378,0,0,5,0
65260,255,251,223,141
79699,680,398,787,826
440590,0,14,1,1
55268,687,582,1032,760
6342,5086,3886,4244,4825
127435,33,41,145,30
6512,0,0,13,0
105378724,0,0,0,0
1376,367,261,343,308
54987,606,625,699,599
4116,287,302,380,350
100507564,61,52,44,17
7804,31,58,39,42
105378728,0,0,5,0
105378726,0,0,1,0
105378732,6,0,0,0
105378731,1,0,5,0
105378730,0,8,1,8
107984957,0,0,0,1
163742,0,0,0,0
105378733,0,0,0,0
63948,0,0,0,0
148979,0,0,0,0
55706,140,93,117,147
54432,621,372,415,477
1733,0,1,1,21
51668,1134,1045,1192,1136
115353,1086,629,965,967
388633,33,26,71,71
9528,22803,16898,19274,23449
127428,127,225,124,101
